sentWcAvg,mostRepFreqSum,diffWc,subordFreq,coordFreq,detArtFreq,indetArtFreq
%!s(float64=0.055555555555555546),%!s(float64=0.22030981067125643),%!s(float64=0.44922547332185886),%!s(float64=0.07401032702237521),%!s(float64=0.0068846815834767644),%!s(float64=0.10327022375215146),0.03270223752151463
%!s(float64=0.035714285714285705),%!s(float64=0.23446893787575152),%!s(float64=0.4709418837675351),%!s(float64=0.03807615230460922),%!s(float64=0),%!s(float64=0.12424849699398798),0.008016032064128256
%!s(float64=0.02777777777777778),%!s(float64=0.1996007984031936),%!s(float64=0.592814371257485),%!s(float64=0.027944111776447105),%!s(float64=0.005988023952095809),%!s(float64=0.11177644710578842),0.027944111776447105
%!s(float64=0.02702702702702703),%!s(float64=0.2178217821782178),%!s(float64=0.596039603960396),%!s(float64=0.03564356435643564),%!s(float64=0.0039603960396039604),%!s(float64=0.11287128712871287),0.019801980198019802
%!s(float64=0.02127659574468085),%!s(float64=0.1872791519434629),%!s(float64=0.5795053003533569),%!s(float64=0.024734982332155476),%!s(float64=0.0017667844522968198),%!s(float64=0.09363957597173145),0.022968197879858657
%!s(float64=0.025),%!s(float64=0.212890625),%!s(float64=0.552734375),%!s(float64=0.04296875),%!s(float64=0.001953125),%!s(float64=0.08984375),0.03125
%!s(float64=0.03225806451612903),%!s(float64=0.21135029354207435),%!s(float64=0.5753424657534246),%!s(float64=0.03913894324853229),%!s(float64=0),%!s(float64=0.10567514677103718),0.0273972602739726
%!s(float64=0.02380952380952381),%!s(float64=0.2177121771217712),%!s(float64=0.5498154981549815),%!s(float64=0.03690036900369004),%!s(float64=0),%!s(float64=0.11070110701107011),0.012915129151291513
%!s(float64=0.024999999999999998),%!s(float64=0.23790322580645162),%!s(float64=0.5866935483870968),%!s(float64=0.03024193548387097),%!s(float64=0.004032258064516129),%!s(float64=0.12701612903225806),0.03225806451612903
%!s(float64=0.026315789473684216),%!s(float64=0.2006861063464837),%!s(float64=0.5677530017152659),%!s(float64=0.044596912521440824),%!s(float64=0.0017152658662092624),%!s(float64=0.09777015437392796),0.0274442538593482
%!s(float64=0.027777777777777783),%!s(float64=0.2254901960784314),%!s(float64=0.5901960784313726),%!s(float64=0.03137254901960784),%!s(float64=0.00196078431372549),%!s(float64=0.11960784313725491),0.0196078431372549
%!s(float64=0.027027027027027032),%!s(float64=0.1909448818897638),%!s(float64=0.6122047244094488),%!s(float64=0.04330708661417323),%!s(float64=0.001968503937007874),%!s(float64=0.1062992125984252),0.011811023622047244
%!s(float64=0.08333333333333334),%!s(float64=0.21218074656188607),%!s(float64=0.5776031434184676),%!s(float64=0.047151277013752456),%!s(float64=0.011787819253438114),%!s(float64=0.10216110019646366),0.007858546168958742
%!s(float64=0.052631578947368425),%!s(float64=0.2323809523809524),%!s(float64=0.5219047619047619),%!s(float64=0.04380952380952381),%!s(float64=0.009523809523809525),%!s(float64=0.09523809523809523),0.007619047619047619
%!s(float64=0.04347826086956522),%!s(float64=0.2384473197781885),%!s(float64=0.5582255083179297),%!s(float64=0.033271719038817),%!s(float64=0.0036968576709796672),%!s(float64=0.09057301293900184),0.011090573012939002
%!s(float64=0.06666666666666667),%!s(float64=0.21756487025948104),%!s(float64=0.5568862275449101),%!s(float64=0.05189620758483034),%!s(float64=0.005988023952095809),%!s(float64=0.11177644710578842),0.027944111776447105
%!s(float64=0.04000000000000001),%!s(float64=0.22355289421157684),%!s(float64=0.590818363273453),%!s(float64=0.05389221556886228),%!s(float64=0.003992015968063872),%!s(float64=0.10179640718562874),0.01996007984031936
%!s(float64=0.045454545454545456),%!s(float64=0.22420634920634921),%!s(float64=0.5416666666666666),%!s(float64=0.04563492063492063),%!s(float64=0.003968253968253968),%!s(float64=0.10119047619047619),0.021825396825396824
%!s(float64=0.03448275862068966),%!s(float64=0.2046332046332046),%!s(float64=0.5637065637065637),%!s(float64=0.04247104247104247),%!s(float64=0.0019305019305019305),%!s(float64=0.11003861003861004),0.021235521235521235
%!s(float64=0.06249999999999999),%!s(float64=0.18860510805500982),%!s(float64=0.5579567779960707),%!s(float64=0.05697445972495088),%!s(float64=0.003929273084479371),%!s(float64=0.07465618860510806),0.029469548133595286
%!s(float64=0.055555555555555546),%!s(float64=0.21399999999999997),%!s(float64=0.542),%!s(float64=0.062),%!s(float64=0.008),%!s(float64=0.088),0.022
%!s(float64=0.04761904761904762),%!s(float64=0.18253968253968253),%!s(float64=0.5853174603174603),%!s(float64=0.061507936507936505),%!s(float64=0.001984126984126984),%!s(float64=0.07142857142857142),0.00992063492063492
